Empresa;Acessos;Market Share;Ranking
CLARO;9.768.259;0,24807836427234;1
VIVO;6.331.075;0,160786352008634;2
OI;5.238.178;0,133030730451287;3
Brisanet Servicos de Telecomunicacoes Ltda;754.477;0,019160980481896;4
ALGAR (CTBC TELECOM);731.437;0,018575848012247;5
TIM;675.894;0,017165257180577;6
UNIFIQUE TELECOMUNICACOES S/A;381.274;0,009682977310447;7
DESKTOP - SIGMANET COMUNICAÇÃO MULTIMÍDIA LTDA.;345.377;0,0087713236532;8
SUMICITY TELECOMUNICACOES S.A.;325.437;0,008264919944659;9
AMERICA NET S.A.;316.821;0,00804610478153;10
PREFEITURA DE LONDRINA/COPEL;279.885;0,007108064291125;11
HUGHES TELECOMUNICACOES DO BRASIL LTDA;267.529;0,006794266687177;12
Vero S.A.;243.810;0,006191890079209;13
MHNET TELECOMUNICAÇÕES LTDA;179.483;0,004558217493485;14
MOB SERVICOS DE TELECOMUNICACOES LTDA;174.582;0,004433749861812;15
SKY/AT&T;164.337;0,00417356400454;16
CABO;128.917;0,003274024417954;17
NETSTYLE COMERCIO DE EQUIPAMENTOS DE INFORMATICA LTDA - ME;124.264;0,003155855087169;18
SURF TELECOM SA;122.050;0,003099627513914;19
COMPANHIA ITABIRANA DE TELECOMUNICACOES LTDA;121.881;0,003095335526615;20
WSP SERVICOS DE TELECOMUNICACOES LTDA;111.848;0,002840533700748;21
BRASIL SERVICOS DE TELECOMUNICACOES LTDA;96.052;0,002439372568345;22
INB TELECOM LTDA;94.811;0,002407855667527;23
PROXXIMA TELECOMUNICACOES S.A.;94.187;0,002392008329808;24
NOVA FIBRA TELECOM S.A.;87.234;0,002215427337557;25
VIP BR TELECOM EIRELI - ME;85.444;0,002169967827111;26
WECLIX TELECOM S.A.;85.281;0,002165828218059;27
BTT TELECOMUNICACOES LTDA;82.317;0,002090553363891;28
VIDEOMAR REDE NORDESTE S/A;79.908;0,002029373497598;29
VOCE TELECOMUNICACOES LTDA;76.783;0,001950009827127;30
NEOREDE TELECOMUNICAÇÃO LTDA;72.183;0,001833186504194;31
PROSERVER TELECOMUNICACOES LTDA;67.467;0,001713417201813;32
Zamix Multiplay Telecomunicacoes Ltda;65.327;0,001659068960274;33
XP SERVICOS DE COMUNICACAO LTDA;65.004;0,001650865931294;34
WEBBY TELECOM LTDA;64.849;0,001646929493239;35
CENTER PRESTADORA DE SERVICOS LTDA;62.876;0,00159682244625;36
CLICK TECNOLOGIA E TELECOMUNICACAO S.A.;61.093;0,001551540710427;37
CILNET COMUNICACAO E INFORMATICA LTDA;59.413;0,001508874801181;38
B.S. COSTA EIRELI - ME;58.069;0,001474742073785;39
STARWEB TELECOMUNICACOES LTDA;56.232;0,001428088933736;40
ULTRAWAVE TELECOMUNICACOES LTDA;55.694;0,001414425684227;41
CONEXÃO SERVIÇOS DE COMUNICAÇÃO MULTIMÍDIA  S.A.;54.806;0,001391873703626;42
SOARES & AGUIAR  ELETRONICA LTDA;54.544;0,001385219853494;43
PREDLINK REDE DE TELECOMUNICACOES LTDA - EPP;52.555;0,001334706464513;44
OSIRNET INFO TELECOM EIRELI;51.977;0,001320027360022;45
FIABLE COMUNICAÇÕES LTDA;50.155;0,001273755165591;46
LIGUE MOVEL LTDA;47.512;0,001206632547653;47
ADYL NET ACESSO A INTERNET LTDA;46.167;0,001172474423883;48
SEA TELECOM LTDA;44.393;0,00112742125543;49
GGNET TELECOMUNICAÇÕES LTDA EPP;44.318;0,001125516527338;50
CONCOURSE TELECOMUNICACOES BRASIL LTDA.;43.715;0,001110202513484;51
TIX TELECOMUNICACOES LTDA;43.363;0,001101262989642;52
GIGALINK DE NOVA FRIBURGO SOLUÇÕES EM REDE MULTIMÍDIA LTDA;43.301;0,00109968841442;53
GIGANET SERVICOS DE INTERNET LTDA;42.259;0,001073225392138;54
R7 TELECOMUNICACOES LTDA;42.024;0,001067257244119;55
ISW PROVEDOR DE INTERNET LTDA;41.467;0,001053111463494;56
CONECTA MINAS GERAIS LTDA;40.866;0,001037848242389;57
NETTEL TELECOMUNICACOES LTDA.;40.637;0,001032032472617;58
HE-NET TELECOMUNICACOES LTDA;40.470;0,001027791278067;59
AMPERNET - TELECOMUNICACOES LTDA - ME;39.203;0,000995614071511;60
LIFE SERVICOS DE COMUNICACAO MULTIMIDIA LTDA;39.004;0,000990560192976;61
VIAVETORIAL TELECOMUNICAÇÕES LTDA;38.660;0,00098182384013;62
ATEL DO BRASIL TELECOM LTDA;38.634;0,000981163534392;63
SKYNET TELECOMUNICAÇÕES EIRELI;38.231;0,000970928795448;64
TECNET PROVEDOR DE ACESSO AS REDES DE COMUNICACAO LTDA;38.155;0,000968998670982;65
